Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,"104,196,861","1,132,935","101,322,779","1,741,147","1,159,832,679","334,805,269"
2,India,"44,682,784","530,740","44,150,289","1,755","915,265,788","1,406,631,776"
3,France,"39,524,311","164,233","39,264,546","95,532","271,490,188","65,584,518"
4,Germany,"37,779,833","165,711","37,398,100","216,022","122,332,384","83,883,596"
5,Brazil,"36,824,580","697,074","35,919,372","208,134","63,776,166","215,353,593"
6,Japan,"32,588,442","68,399","21,567,425","10,952,618","92,144,639","125,584,838"
7,S. Korea,"30,197,066","33,486","29,740,877","422,703","15,804,065","51,329,899"
8,Italy,"25,453,789","186,833","25,014,986","251,970","265,478,247","60,262,770"
9,UK,"24,274,361","204,171","24,020,088","50,102","522,526,476","68,497,907"
10,Russia,"21,958,696","395,108","21,356,008","207,580","273,400,000","145,805,947"
11,Turkey,"17,042,722","101,492",N/A,N/A,"162,743,369","85,561,976"
12,Spain,"13,731,478","118,434","13,557,699","55,345","471,036,328","46,719,142"
13,Vietnam,"11,526,508","43,186","10,612,479","870,843","85,826,548","98,953,541"
14,Australia,"11,295,446","18,615","11,235,771","41,060","78,835,048","26,068,792"
15,Argentina,"10,037,135","130,421","9,877,032","29,682","35,716,069","46,010,234"
16,Taiwan,"9,569,611","16,356","9,129,766","423,489","30,207,485","23,888,595"
17,Netherlands,"8,582,500","22,989","8,547,771","11,740","25,984,435","17,211,447"
18,Iran,"7,564,350","144,749","7,337,549","82,052","54,420,785","86,022,837"
19,Mexico,"7,368,252","332,198","6,606,633","429,421","19,356,195","131,562,772"
20,Indonesia,"6,730,289","160,817","6,565,208","4,264","114,158,919","279,134,505"
21,Poland,"6,380,225","118,736","5,335,940","925,549","38,118,630","37,739,785"
22,Colombia,"6,356,309","142,486","6,179,501","34,322","36,951,507","51,512,762"
23,Austria,"5,780,229","21,689","5,730,189","28,351","211,273,524","9,066,710"
24,Greece,"5,708,301","35,630","5,662,212","10,459","102,228,365","10,316,637"
25,Portugal,"5,563,907","26,022","5,532,366","5,519","45,915,651","10,140,570"
26,Ukraine,"5,370,131","111,020","5,253,302","5,809","32,603,805","43,192,122"
27,Chile,"5,118,981","63,812","5,051,555","3,614","48,127,301","19,250,195"
28,Malaysia,"5,036,593","36,942","4,989,861","9,790","67,665,089","33,181,072"
29,Israel,"4,786,189","12,193","4,768,242","5,754","41,373,364","9,326,000"
30,DPRK,"4,772,813",74,"4,772,739",0,,"25,990,679"
31,Thailand,"4,726,984","33,865","4,692,636",483,"17,270,775","70,078,203"
32,Belgium,"4,691,499","33,557","4,644,681","13,261","36,548,544","11,668,278"
33,Czechia,"4,590,019","42,312","4,538,304","9,403","56,893,223","10,736,784"
34,Canada,"4,550,256","50,380","4,444,013","55,863","66,343,123","38,388,419"
35,Peru,"4,481,621","218,931","4,258,688","4,002","37,754,603","33,684,208"
36,Switzerland,"4,385,701","14,452","4,366,770","4,479","23,318,743","8,773,637"
37,Philippines,"4,073,454","65,802","3,998,048","9,604","34,343,332","112,508,994"
38,South Africa,"4,055,966","102,595","3,912,506","40,865","26,473,049","60,756,135"
39,Romania,"3,325,006","67,576","3,252,104","5,326","26,389,988","19,031,335"
40,Denmark,"3,173,247","8,145","3,163,849","1,253","129,144,754","5,834,950"
41,Hong Kong,"2,877,280","13,358","2,509,483","354,439","76,123,870","7,604,299"
42,Sweden,"2,693,458","23,246","2,658,039","12,173","19,410,527","10,218,971"
43,Serbia,"2,471,198","17,701","2,440,527","12,970","12,154,486","8,653,016"
44,Iraq,"2,465,545","25,375","2,439,497",673,"19,544,451","42,164,965"
45,Singapore,"2,217,110","1,722","2,144,490","70,898","24,756,666","5,943,546"
46,Hungary,"2,192,447","48,677","2,139,857","3,913","11,394,556","9,606,259"
47,New Zealand,"2,182,355","3,781","2,169,320","9,254","7,710,637","4,898,203"
48,Bangladesh,"2,037,556","29,442","1,992,694","15,420","15,247,014","167,885,689"
49,Slovakia,"1,860,893","20,946","1,839,309",638,"7,390,781","5,460,193"
